"temperature","humidity","pressure","image"
210.066803,3.225220472,22999.99924,1
210.216156,3.208859533,21299.99924,1
209.5350342,3.577350408,21799.99924,1
208.9478455,3.581258565,22399.99924,0
209.8136597,3.373179555,23199.99924,0
209.752243,3.01750654,23099.99924,0
209.6594849,3.066369712,23399.99924,0
209.5311127,3.313363761,23799.99924,0
209.5968781,3.56101653,24299.99924,0
209.9907837,3.303236037,25299.99924,0
210.2406006,2.923623204,26499.99924,0
209.929306,3.053199708,27799.99924,0
209.5982056,3.032400548,28399.99924,0
209.5456543,2.888392657,28399.99924,0
209.3305969,3.001702905,26399.99771,1
209.1030273,3.263527125,18599.99771,1
208.836441,3.686622679,22499.99771,1
209.901123,3.436840624,26199.99924,1
209.9061279,3.687891871,27199.99924,1
208.8130188,3.803785145,28099.99924,1
208.5075684,3.799429715,28599.99924,1
208.4356232,4.173230231,30599.99924,1
208.0960083,4.175081819,31499.99924,1
208.7034607,4.033697426,32399.99924,1
209.4965363,3.660199225,27999.99924,1
209.5579529,3.542817324,29299.99924,1
209.6281433,3.651937306,29899.99924,1
208.992157,4.424393505,29999.99924,0
207.5998383,4.568544894,29599.99924,0
207.46521,4.692781836,27699.99924,0
207.4667206,4.549099207,27199.99924,0
207.5770721,4.438345283,20099.99924,0
207.5575562,4.189617634,19899.99924,0
207.1583862,4.318835348,19699.99924,0
207.8234253,3.951490879,19299.99924,0
208.1882019,3.831786186,18999.99924,0
208.190033,3.875453889,21699.99924,0
207.9428253,4.317882657,22299.99924,0
207.1313782,4.443655252,23199.99924,1
206.8999023,4.712975651,33299.99924,1
206.4220886,5.327575952,34199.99924,1
206.7455139,5.329070657,33799.99924,1
206.7346344,5.425509393,34799.99924,1
206.5721283,5.426210105,36199.99924,1
207.2803955,5.200644225,35899.99924,1
207.2856903,4.580749512,39899.99924,1
207.3482361,4.586321563,39899.99924,1
207.469101,4.824274063,40499.99924,1
206.914444,4.925925583,41299.99924,1
206.9168854,4.926448524,41599.99924,1
206.7883606,5.338308185,25099.99924,1
206.7952118,5.337215364,24599.99924,0
206.4598083,5.373450726,24999.99924,0
206.7012787,5.369664997,24099.99924,0
206.6803284,4.988014698,24499.99924,0
207.0837097,4.861385316,22399.99924,0
207.2794647,4.713922709,22399.99924,0
207.5291443,4.835092366,22199.99924,0
207.5276947,5.094601899,22099.99924,0
206.7376404,5.330602288,21699.99924,0
206.3382721,5.455171973,21999.99924,0
206.7619019,5.364729673,21699.99924,0
206.7143555,4.938222289,21499.99924,1
206.7703857,4.93950206,21099.99924,1
207.1342621,5.198443592,21099.99924,1
207.6871033,5.064397097,22299.99924,1
207.5959625,4.701233804,20599.99924,1
207.3830566,4.952560902,20299.99924,1
207.2534332,5.214069694,20399.99924,1
207.1689148,5.213219047,20299.99924,1
207.167511,5.328639269,19899.99924,1
207.1816406,5.206613988,19199.99924,1
207.0864563,5.426978648,19099.99924,1
206.6803284,5.719434083,19399.99924,1
206.7033691,5.596405685,19299.99924,1
206.6541138,5.687711,18499.99924,0
206.4894104,5.816726178,16899.99924,0
207.059845,5.814534158,16999.99924,0
207.4010468,5.206314534,17399.99924,0
207.4673462,4.825524956,16899.99924,0
207.4732666,4.82498455,16799.99924,0
207.7215271,4.703636229,17199.99924,0
207.5667419,4.940059632,17199.99924,0
207.7606964,4.937326819,16799.99924,0
207.7594147,4.56050992,17799.99924,0
207.594696,4.811478406,17799.99924,0
207.4384003,5.05628854,17599.99771,1
207.117981,5.18085894,17699.99924,1
207.2650146,4.846362174,25199.99924,1
207.2829437,4.716309845,17599.99924,1
